host,port,nickname,protocol
178.33.183.251,443,grenouille,or_port
171.25.193.20,443,DFRI0,or_port
83.212.99.68,443,zouzounella,or_port
92.222.38.67,443,ThorExit,or_port
185.100.86.182,8080,NormalCitizen,or_port
212.47.244.38,443,Chimborazo,or_port
51.254.147.57,443,Cosworth01,or_port
192.87.28.28,9001,SEC6xFreeBSD64,or_port
217.182.75.181,9001,Aerodynamik02,or_port
193.70.112.165,443,ParkBenchInd001,or_port
129.13.131.140,443,AlleKochenKaffee,or_port
37.187.102.108,443,EvilMoe,or_port
192.160.102.168,9001,prawksi,or_port
163.172.154.162,9001,rofltor06,or_port
78.47.18.110,80,fluxe3,or_port
178.254.19.101,443,Freebird31,or_port
185.96.180.29,443,TykRelay06,or_port
86.59.119.83,443,ph3x,or_port
149.56.45.200,9001,PyotrTorpotkinOne,or_port
